Survived,Pclass,Sex,AgeGroup,Parch,Fare,Embarked,Title
0,3,male,2,0,7.25,S,Mr
1,1,female,3,0,71.2833,C,Mrs
1,3,female,2,0,7.925,S,Miss
1,1,female,3,0,53.1,S,Mrs
0,3,male,3,0,8.05,S,Mr
0,1,male,4,0,51.8625,S,Mr
0,3,male,1,1,21.075,S,Master
1,3,female,2,2,11.1333,S,Mrs
1,2,female,1,0,30.0708,C,Mrs
1,3,female,1,1,16.7,S,Miss
1,1,female,4,0,26.55,S,Miss
0,3,male,2,0,8.05,S,Mr
0,3,male,3,5,31.275,S,Mr
0,3,female,1,0,7.8542,S,Miss
1,2,female,4,0,16,S,Mrs
0,3,male,1,1,29.125,Q,Master
0,3,female,3,0,18,S,Mrs
0,2,male,3,0,26,S,Mr
1,2,male,3,0,13,S,Mr
1,3,female,1,0,8.0292,Q,Miss
1,1,male,2,0,35.5,S,Mr
0,3,female,1,1,21.075,S,Miss
1,3,female,3,5,31.3875,S,Mrs
0,1,male,2,2,263,S,Mr
0,1,male,4,0,27.7208,C,Others
0,2,male,4,0,10.5,S,Mr
0,1,male,2,0,82.1708,C,Mr
0,1,male,4,0,52,S,Mr
0,3,male,2,0,8.05,S,Mr
0,3,female,2,0,18,S,Miss
1,3,female,1,0,11.2417,C,Miss
0,3,female,4,0,9.475,S,Mrs
0,2,female,2,0,21,S,Mrs
1,2,female,1,2,41.5792,C,Miss
1,3,female,2,0,7.8792,Q,Miss
0,3,female,2,0,17.8,S,Mrs
0,3,male,1,1,39.6875,S,Master
0,3,male,2,0,7.8,S,Mr
1,1,female,4,0,76.7292,C,Mrs
1,2,female,2,0,26,S,Mrs
0,1,male,4,1,61.9792,C,Mr
1,2,female,2,0,10.5,S,Miss
0,3,male,2,0,7.2292,C,Mr
1,2,female,1,2,27.75,S,Miss
0,3,male,1,2,46.9,S,Master
0,3,male,2,0,7.2292,C,Mr
1,1,female,3,0,80,S,Miss
0,1,male,4,0,83.475,S,Mr
0,3,male,1,2,27.9,S,Master
1,2,female,2,0,10.5,S,Mrs
0,3,male,2,0,8.1583,S,Mr
1,3,female,1,2,7.925,S,Miss
0,3,male,2,0,8.6625,S,Mr
0,2,male,3,0,10.5,S,Mr
0,3,female,1,2,46.9,S,Miss
0,2,male,2,0,73.5,S,Mr
0,3,male,2,0,14.4542,C,Mr
1,3,male,3,0,56.4958,S,Mr
0,3,male,2,0,7.65,S,Mr
1,2,male,1,2,29,S,Master
1,3,female,3,0,12.475,S,Miss
0,3,male,2,0,9,S,Mr
1,3,male,2,0,9.5,S,Mr
0,1,male,2,0,47.1,S,Mr
1,2,female,1,0,10.5,S,Miss
1,3,female,3,0,15.85,S,Mrs
0,3,male,1,3,34.375,S,Mr
1,1,female,2,2,263,S,Miss
0,3,male,2,0,8.05,S,Mr
0,3,male,2,0,8.05,S,Mr
0,3,male,2,0,7.8542,S,Mr
0,1,male,4,0,61.175,S,Mr
0,3,male,2,2,20.575,S,Mr
0,3,male,4,0,7.25,S,Mr
0,1,male,4,0,34.6542,C,Mr
1,1,male,2,1,63.3583,C,Mr
1,2,female,3,1,23,S,Mrs
0,2,male,3,0,26,S,Mr
0,3,female,2,0,7.8958,S,Miss
0,1,male,2,1,77.2875,S,Mr
0,3,male,3,0,8.6542,S,Mr
0,3,male,3,0,7.925,S,Mr
